survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone
0,2,male,52.0,0,0,13.0,S,Second,man,True,,Southampton,no,True
0,3,male,,0,0,7.25,S,Third,man,True,,Southampton,no,True
0,3,male,,0,0,7.8958,S,Third,man,True,,Southampton,no,True
0,3,female,18.0,0,0,7.775,S,Third,woman,False,,Southampton,no,True
1,3,female,16.0,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True
0,2,male,19.0,1,1,36.75,S,Second,man,True,,Southampton,no,False
0,3,male,28.0,0,0,56.4958,S,Third,man,True,,Southampton,no,True
1,1,female,53.0,2,0,51.4792,S,First,woman,False,C,Southampton,yes,False
1,3,female,4.0,0,1,13.4167,C,Third,child,False,,Cherbourg,yes,False
1,3,male,32.0,0,0,7.925,S,Third,man,True,,Southampton,yes,True
0,2,male,23.0,0,0,13.0,S,Second,man,True,,Southampton,no,True
0,3,male,,0,0,7.8958,S,Third,man,True,,Southampton,no,True
0,1,female,25.0,1,2,151.55,S,First,woman,False,C,Southampton,no,False
1,3,male,20.0,0,0,7.2292,C,Third,man,True,,Cherbourg,yes,True
0,3,male,19.0,0,0,7.65,S,Third,man,True,F,Southampton,no,True
0,3,male,39.0,0,0,24.15,S,Third,man,True,,Southampton,no,True
1,3,male,32.0,0,0,56.4958,S,Third,man,True,,Southampton,yes,True
0,2,male,39.0,0,0,13.0,S,Second,man,True,,Southampton,no,True
1,1,female,31.0,0,2,164.8667,S,First,woman,False,C,Southampton,yes,False
1,3,male,20.0,1,0,7.925,S,Third,man,True,,Southampton,yes,False
0,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True
0,3,male,51.0,0,0,7.0542,S,Third,man,True,,Southampton,no,True
1,3,female,18.0,0,0,9.8417,S,Third,woman,False,,Southampton,yes,True
1,1,male,49.0,1,0,89.1042,C,First,man,True,C,Cherbourg,yes,False
1,1,female,24.0,3,2,263.0,S,First,woman,False,C,Southampton,yes,False
1,1,female,30.0,0,0,93.5,S,First,woman,False,B,Southampton,yes,True
0,3,female,,8,2,69.55,S,Third,woman,False,,Southampton,no,False
0,1,male,,0,0,0.0,S,First,man,True,B,Southampton,no,True
0,2,male,21.0,1,0,11.5,S,Second,man,True,,Southampton,no,False
1,3,female,,1,0,16.1,S,Third,woman,False,,Southampton,yes,False
1,1,male,35.0,0,0,512.3292,C,First,man,True,B,Cherbourg,yes,True
0,3,male,38.0,0,0,8.6625,S,Third,man,True,,Southampton,no,True
0,3,female,28.0,0,0,7.8958,S,Third,woman,False,,Southampton,no,True
1,3,male,,0,0,7.2292,C,Third,man,True,,Cherbourg,yes,True
1,1,female,39.0,1,1,110.8833,C,First,woman,False,C,Cherbourg,yes,False
1,2,female,25.0,0,1,26.0,S,Second,woman,False,,Southampton,yes,False
1,2,female,50.0,0,0,10.5,S,Second,woman,False,,Southampton,yes,True
0,1,male,38.0,0,0,0.0,S,First,man,True,,Southampton,no,True
0,1,male,65.0,0,1,61.9792,C,First,man,True,B,Cherbourg,no,False
0,1,male,47.0,0,0,52.0,S,First,man,True,C,Southampton,no,True
0,3,male,17.0,1,0,7.0542,S,Third,man,True,,Southampton,no,False
0,3,male,,0,0,7.225,C,Third,man,True,,Cherbourg,no,True
0,2,male,35.0,0,0,26.0,S,Second,man,True,,Southampton,no,True
0,3,male,42.0,0,0,7.55,S,Third,man,True,,Southampton,no,True
0,3,male,30.0,0,0,7.225,C,Third,man,True,,Cherbourg,no,True
0,3,male,,0,0,8.4583,Q,Third,man,True,,Queenstown,no,True
1,1,female,24.0,0,0,83.1583,C,First,woman,False,C,Cherbourg,yes,True
0,3,male,20.0,0,0,7.8542,S,Third,man,True,,Southampton,no,True
0,3,male,21.0,0,0,7.8542,S,Third,man,True,,Southampton,no,True
1,3,female,24.0,1,0,15.85,S,Third,woman,False,,Southampton,yes,False
0,1,male,40.0,0,0,0.0,S,First,man,True,B,Southampton,no,True
1,3,male,4.0,1,1,11.1333,S,Third,child,False,,Southampton,yes,False
0,3,male,44.0,0,0,8.05,S,Third,man,True,,Southampton,no,True
0,3,male,27.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True
0,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True
0,3,male,25.0,0,0,7.05,S,Third,man,True,,Southampton,no,True
1,2,female,13.0,0,1,19.5,S,Second,child,False,,Southampton,yes,False
1,3,female,5.0,2,1,19.2583,C,Third,child,False,,Cherbourg,yes,False
1,1,male,23.0,0,1,63.3583,C,First,man,True,D,Cherbourg,yes,False
0,3,male,25.0,0,0,7.225,C,Third,man,True,,Cherbourg,no,True
1,3,male,0.42,0,1,8.5167,C,Third,child,False,,Cherbourg,yes,False
0,3,male,,0,0,7.8958,S,Third,man,True,,Southampton,no,True
1,3,male,19.0,0,0,8.05,S,Third,man,True,,Southampton,yes,True
0,3,male,24.0,0,0,8.05,S,Third,man,True,,Southampton,no,True
0,3,male,,1,0,19.9667,S,Third,man,True,,Southampton,no,False
0,3,male,29.0,0,0,7.775,S,Third,man,True,,Southampton,no,True
0,3,male,,0,0,7.225,C,Third,man,True,,Cherbourg,no,True
0,1,male,52.0,1,1,79.65,S,First,man,True,E,Southampton,no,False
0,1,male,54.0,0,1,77.2875,S,First,man,True,D,Southampton,no,False
0,3,male,,0,0,14.5,S,Third,man,True,,Southampton,no,True
1,1,male,,0,0,30.0,S,First,man,True,D,Southampton,yes,True
0,3,male,26.0,0,0,7.8875,S,Third,man,True,,Southampton,no,True
0,1,male,42.0,1,0,52.0,S,First,man,True,,Southampton,no,False
0,3,male,41.0,0,0,7.125,S,Third,man,True,,Southampton,no,True
1,3,male,32.0,0,0,8.05,S,Third,man,True,E,Southampton,yes,True
0,2,male,,0,0,0.0,S,Second,man,True,,Southampton,no,True
1,2,female,24.0,1,0,26.0,S,Second,woman,False,,Southampton,yes,False
0,3,male,22.0,0,0,7.7958,S,Third,man,True,,Southampton,no,True
0,2,male,25.0,0,0,13.0,S,Second,man,True,,Southampton,no,True
0,3,male,22.0,0,0,8.05,S,Third,man,True,,Southampton,no,True
1,2,female,50.0,0,0,10.5,S,Second,woman,False,,Southampton,yes,True
0,3,male,24.0,0,0,7.4958,S,Third,man,True,,Southampton,no,True
1,1,female,60.0,1,0,75.25,C,First,woman,False,D,Cherbourg,yes,False
0,3,male,16.0,0,0,9.2167,S,Third,man,True,,Southampton,no,True
0,3,male,,0,0,7.8958,S,Third,man,True,,Southampton,no,True
0,3,female,,0,0,7.6292,Q,Third,woman,False,,Queenstown,no,True
0,3,female,9.0,3,2,27.9,S,Third,child,False,,Southampton,no,False
0,1,male,,0,0,26.0,S,First,man,True,A,Southampton,no,True
0,3,female,9.0,2,2,34.375,S,Third,child,False,,Southampton,no,False
0,3,male,,0,0,7.8958,S,Third,man,True,,Southampton,no,True
0,3,male,28.5,0,0,16.1,S,Third,man,True,,Southampton,no,True
0,3,male,,0,0,7.75,Q,Third,man,True,,Queenstown,no,True
1,2,female,32.5,0,0,13.0,S,Second,woman,False,E,Southampton,yes,True
0,2,male,18.0,0,0,11.5,S,Second,man,True,,Southampton,no,True
0,3,male,30.0,0,0,8.05,S,Third,man,True,,Southampton,no,True
0,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True
1,3,male,25.0,0,0,0.0,S,Third,man,True,,Southampton,yes,True
0,3,female,2.0,4,2,31.275,S,Third,child,False,,Southampton,no,False
0,3,male,29.0,0,0,8.05,S,Third,man,True,,Southampton,no,True
0,3,male,29.0,0,0,7.875,S,Third,man,True,,Southampton,no,True
